File,BMD[mg/cc],BMDseg[mg/cc],BV/TV[1],gDSM-BS/BV[1/mm],gDSM-Tb.N[1/mm],DT-Tb.Th[mm],DT-Tb.Sp[mm],MIL.Avg[mm],TV[cc/1000],DT-Tb.Sp.SD,DT-Tb.Th.SD,DT-wTb.Sp.SD,DT-wTb.Sp[mm],DT-wTb.Th.SD,DT-wTb.Th[mm],gDSM-Tb.Sp[mm],gDSM-Tb.Th[mm],Fexp,_Threshold
BA01_120_1Slices.xml,45.8176,225.476,0.221173,4.50601,0.498303,0.506896,1.5494,0.898511,7850.36,0.925778,0.288514,0.949054,1.55843,0.105423,0.112344,1.56296,0.443852,,124
BA01_120_2Slices.xml,33.9556,219.373,0.225537,5.26152,0.593335,0.444316,1.03095,0.766957,8898.16,0.480437,0.280935,0.494705,1.0344,0.0988259,0.0967374,1.30527,0.380118,1.46036,124
BA01_120_3Slices.xml,27.0439,223.104,0.221872,5.00251,0.554959,0.471476,1.15198,0.806468,9505.15,0.572663,0.289014,0.586596,1.15563,0.103672,0.104139,1.40214,0.3998,,124
BA02_120_1Slices.xml,57.2939,195.749,0.275709,5.48871,0.756643,0.355044,0.823949,0.732881,7926.76,0.409713,0.217265,0.445959,0.839054,0.0564111,0.0642241,0.957243,0.364385,,124
BA02_120_2Slices.xml,69.8476,195.754,0.277738,5.80528,0.806172,0.321124,0.757259,0.693226,7435.83,0.390727,0.199458,0.423741,0.7715,0.0516282,0.0576362,0.895916,0.344514,2.35117,124
BA02_120_3Slices.xml,82.2962,195.219,0.276896,6.01625,0.832938,0.298224,0.727546,0.669695,7850.76,0.388397,0.172714,0.419775,0.740754,0.04469,0.0528523,0.868136,0.332433,,124
BA03_120_3Slices.xml,46.5035,206.271,0.244029,5.83194,0.71158,0.351107,0.946651,0.691248,2537.59,0.610507,0.244175,0.641701,0.957634,0.0853415,0.0719538,1.06238,0.342939,,124
BA04_120_2Slices.xml,50.0221,207.464,0.239706,6.04709,0.724762,0.339704,0.81982,0.666705,8019.63,0.391876,0.2264,0.408955,0.825087,0.0806593,0.069646,1.04903,0.330738,,124
BA04_120_3Slices.xml,48.4005,190.968,0.233896,5.68755,0.665148,0.371106,0.965127,0.708118,7776.22,0.495787,0.239673,0.552703,0.973543,0.0697478,0.0679508,1.15178,0.351645,,124
BA05_120_1Slices.xml,47.1518,196.272,0.24879,5.46675,0.680035,0.378222,0.942242,0.736712,7010.72,0.479583,0.242957,0.520661,0.951549,0.0680844,0.070338,1.10466,0.365848,,124
BA05_120_2Slices.xml,57.562,206.802,0.255264,5.35196,0.68308,0.391994,0.943393,0.752237,6512.13,0.492414,0.254301,0.519614,0.955407,0.0789746,0.0781355,1.09026,0.373695,1.7721022,124
BA05_120_3Slices.xml,60.5435,203.716,0.251368,5.3176,0.668337,0.394034,0.971188,0.757852,5838.51,0.502713,0.25617,0.534805,0.982414,0.076505,0.0769074,1.12014,0.376109,,124
BA06_120_1Slices.xml,75.6476,218.691,0.234479,4.71431,0.552703,0.478993,1.19848,0.858424,6341.56,0.541469,0.278266,0.565841,1.20739,0.0967248,0.102349,1.38505,0.42424,,124
BA06_120_3Slices.xml,53.4462,216.97,0.225562,5.18164,0.58439,0.443448,1.06736,0.779807,7011.77,0.482583,0.272276,0.502235,1.07157,0.0952728,0.0951487,1.32521,0.385978,,124
BA07_120_2Slices.xml,44.5803,211.808,0.244349,5.19704,0.634946,0.412341,1.03961,0.775477,6736.71,0.550611,0.248729,0.579996,1.05087,0.0810452,0.0843519,1.1901,0.384834,1.64732,124
BA07_120_3Slices.xml,30.0895,206.517,0.253704,5.58128,0.707995,0.370176,0.882067,0.721759,6736.42,0.450449,0.234377,0.472941,0.89101,0.0701558,0.0724439,1.0541,0.358341,,124
BA08_120_1Slices.xml,57.9385,199.519,0.267169,5.91505,0.790159,0.315989,0.75953,0.680339,7290.58,0.371735,0.189176,0.398541,0.770221,0.0538332,0.0586142,0.927447,0.338121,,124
BA08_120_3Slices.xml,50.9841,205.531,0.256088,5.67018,0.726031,0.354658,0.840831,0.70989,6736.56,0.401752,0.223461,0.427011,0.850771,0.0691483,0.0696504,1.02463,0.352723,,124
BA09_120_1Slices.xml,34.5939,207.414,0.245096,5.59496,0.685651,0.392173,0.905347,0.719673,6285.94,0.461571,0.288632,0.488971,0.915079,0.0994196,0.0817576,1.101,0.357465,,124
BA09_120_3Slices.xml,33.1954,206.711,0.248612,5.60693,0.696976,0.386576,0.887455,0.718227,6708.17,0.451615,0.282643,0.478502,0.89745,0.096417,0.0797137,1.07807,0.356701,,124
BA10_120_1Slices.xml,44.4914,194.747,0.243491,5.32966,0.648863,0.39491,1.0174,0.754193,6696.18,0.518114,0.251573,0.568161,1.02697,0.0712632,0.0733519,1.1659,0.375258,,124
BA11_120_4Slices.xml,80.568,205.408,0.254212,5.85013,0.743588,0.342182,0.824515,0.690604,5113.21,0.436811,0.232264,0.458025,0.83309,0.075688,0.0679739,1.00296,0.341873,,124
BA12_120_1Slices.xml,73.8804,204.211,0.260365,5.47821,0.713166,0.376363,0.867432,0.734231,8408.7,0.419999,0.251787,0.44648,0.878919,0.0768682,0.0737905,1.03712,0.365083,,124
BA12_120_2Slices.xml,82.1673,203.498,0.264231,5.35315,0.707234,0.386809,0.87355,0.751499,7427.79,0.421049,0.252236,0.449589,0.886202,0.0728579,0.0749136,1.04035,0.373612,,124
BA12_120_3Slices.xml,99.885,203.27,0.260792,5.54264,0.722737,0.360148,0.853695,0.726541,5220.38,0.411088,0.230728,0.438331,0.865167,0.0697145,0.0698575,1.02279,0.360839,,124
BA13_120_1Slices.xml,7.24436,215.074,0.235651,5.42383,0.639065,0.406325,0.951655,0.742246,3928.11,0.449823,0.251449,0.471015,0.958174,0.0834317,0.0851978,1.19604,0.368743,,124
BA13_120_3Slices.xml,2.71996,187.495,0.213896,5.35328,0.572522,0.419886,1.21515,0.75322,5941.88,0.717803,0.272346,0.871388,1.23808,0.0764234,0.0760739,1.37306,0.373603,,124
BA14_120_1Slices.xml,23.3219,211.822,0.238664,5.7422,0.685228,0.358947,0.920135,0.701523,7873.74,0.478215,0.230188,0.494634,0.925604,0.0778471,0.0739744,1.11107,0.348298,,124
BA14_120_4Slices.xml,26.8468,208.551,0.247551,6.03489,0.746973,0.327634,0.781456,0.668073,5592.93,0.384632,0.20462,0.401709,0.787613,0.0652674,0.0652891,1.00733,0.331406,,124
BA16_120_1Slices.xml,28.2186,205.394,0.230655,5.17961,0.59735,0.41724,1.07755,0.776793,7108.96,0.524591,0.261869,0.553456,1.08193,0.0803201,0.0828154,1.28793,0.38613,,124
BA16_120_3Slices.xml,30.4051,207.39,0.24439,5.74461,0.701963,0.364733,0.864954,0.701724,7137.17,0.430352,0.246423,0.452751,0.872432,0.0798584,0.0738731,1.07642,0.348152,,124
BA17_120_1Slices.xml,50.6417,211.825,0.251665,5.00233,0.629455,0.429074,1.04147,0.806554,6093.99,0.502504,0.251334,0.530204,1.05409,0.0796249,0.0870758,1.18886,0.399814,,124
BA17_120_2Slices.xml,53.8809,214.413,0.248271,4.71066,0.58476,0.462166,1.17767,0.857778,4858.1,0.58979,0.264389,0.616423,1.19075,0.0836061,0.0945505,1.28553,0.424569,,124
BA17_120_3Slices.xml,52.0222,215.012,0.246762,4.79219,0.591265,0.455838,1.16875,0.843855,3935.31,0.599921,0.264522,0.626589,1.1818,0.084404,0.0939474,1.27394,0.417346,,124
BA18_120_1Slices.xml,47.2162,192.454,0.259199,5.74723,0.744838,0.336156,0.829192,0.699953,7064.13,0.40993,0.205411,0.445304,0.838575,0.0538138,0.0599834,0.994581,0.347994,,124
BA18_120_2Slices.xml,49.0836,186.718,0.250622,5.64487,0.707364,0.348588,0.898712,0.712778,7457.68,0.45887,0.216814,0.50084,0.90638,0.0536299,0.0602334,1.0594,0.354304,2.0406985,124
BA18_120_3Slices.xml,52.0333,193.734,0.258885,5.58971,0.723545,0.355742,0.847528,0.719745,6630.77,0.40215,0.223632,0.437201,0.857075,0.0594231,0.0643588,1.02428,0.3578,,124
BA19_120_1Slices.xml,21.5872,208.166,0.246859,5.88328,0.726171,0.35588,0.812597,0.684093,9373.3,0.394221,0.232346,0.413781,0.81973,0.0766849,0.0722239,1.03714,0.339947,,124
BA19_120_2Slices.xml,33.7707,218.187,0.210068,5.46743,0.574265,0.419148,1.11652,0.735489,8568.24,0.549576,0.280133,0.569978,1.11951,0.108604,0.0942703,1.37555,0.365802,1.6107263,124
BA19_120_3Slices.xml,37.4601,214.742,0.240827,5.121,0.616637,0.420937,1.04486,0.786844,6469.14,0.497134,0.251884,0.521779,1.0547,0.0849998,0.0879523,1.23115,0.390549,,124
BA20_120_1Slices.xml,51.5974,201.54,0.265213,5.66447,0.751144,0.34363,0.825365,0.70926,9452.21,0.436021,0.216388,0.46626,0.838384,0.0654222,0.0655557,0.978224,0.353078,,124
BA20_120_2Slices.xml,51.0266,201.989,0.268302,5.42726,0.728072,0.360384,0.867867,0.741512,5363.21,0.430243,0.212719,0.462557,0.882216,0.0615748,0.0682583,1.00498,0.36851,,124
BA21_120_1Slices.xml,34.4291,203.832,0.255716,5.58786,0.714452,0.369361,0.85604,0.719811,8231.66,0.408063,0.238838,0.435895,0.866545,0.074376,0.072604,1.04176,0.357919,,124
BA21_120_2Slices.xml,48.0659,203.603,0.250208,5.49987,0.688055,0.379164,0.901343,0.732211,9137.42,0.426425,0.255041,0.451438,0.910578,0.0864615,0.0753268,1.08973,0.363645,2.1295259,124
BA22_120_1Slices.xml,50.8078,198.748,0.271443,6.07335,0.824284,0.305541,0.716612,0.661578,6310.3,0.360648,0.186439,0.386013,0.727685,0.0532798,0.056128,0.883866,0.329307,,124
BA22_120_2Slices.xml,56.9512,199.992,0.271958,5.64113,0.767077,0.338606,0.790248,0.712642,6800.46,0.382896,0.203617,0.411419,0.80307,0.0557986,0.0628272,0.949112,0.354539,1.826667,124
BA22_120_3Slices.xml,58.2799,200.122,0.27152,5.71916,0.776432,0.336243,0.768523,0.702818,7959.33,0.365526,0.207212,0.392762,0.780685,0.0577995,0.0627824,0.938241,0.349702,,124
BA22_120_4Slices.xml,49.9836,200.073,0.269118,6.05027,0.814119,0.307679,0.724083,0.664979,10604.9,0.356793,0.182451,0.380515,0.734343,0.0505776,0.0566947,0.897758,0.330564,,124
BA23_120_1Slices.xml,68.8221,203.361,0.263813,5.46128,0.720378,0.364674,0.863749,0.736222,4775.21,0.412899,0.22751,0.441187,0.876273,0.0688049,0.0705503,1.02194,0.366214,,124
BA23_120_2Slices.xml,69.2366,203.161,0.259162,5.61908,0.728125,0.351595,0.848194,0.715655,5881.82,0.410656,0.217988,0.437069,0.859244,0.0684386,0.06832,1.01746,0.35593,2.43365,124
BA23_120_3Slices.xml,69.9114,204.562,0.256126,5.56388,0.712528,0.367573,0.856696,0.722675,6756.86,0.404346,0.234833,0.432703,0.867641,0.0730229,0.0724069,1.04399,0.359462,,124
BA23_120_4Slices.xml,61.0783,203.391,0.257905,5.54258,0.71473,0.36581,0.867945,0.7253,7682.53,0.431063,0.238279,0.458482,0.879183,0.0739958,0.0713609,1.03829,0.360843,,124
BA24_120_2Slices.xml,69.2121,206.853,0.241132,5.76928,0.695579,0.364034,0.858701,0.697421,6038.47,0.392704,0.247182,0.414305,0.865492,0.0869626,0.0750788,1.09099,0.346663,2.1390432,124
BA24_120_3Slices.xml,83.4252,214.292,0.22479,5.47998,0.615923,0.410195,0.992491,0.73412,4776.17,0.460884,0.2902,0.483198,0.997834,0.107488,0.0905498,1.25861,0.364965,,124
BA24_120_4Slices.xml,76.1594,206.422,0.236547,5.46703,0.646606,0.391712,0.952831,0.735989,4774.92,0.434771,0.267558,0.459916,0.95913,0.0925137,0.0808167,1.18071,0.365829,,124
BA25_120_1Slices.xml,75.3691,210.189,0.25206,4.99219,0.629165,0.430335,1.02209,0.810036,7764.02,0.483676,0.251364,0.511594,1.03397,0.079628,0.0866516,1.18878,0.400626,,124
BA25_120_2Slices.xml,75.1602,210.876,0.251683,4.89493,0.615984,0.441248,1.0654,0.828462,7329.11,0.496479,0.247472,0.525027,1.07767,0.080052,0.0890017,1.21483,0.408586,2.2204678,124
BA25_120_3Slices.xml,87.1883,211.579,0.242451,5.12621,0.621427,0.427654,1.02302,0.786729,6038.61,0.480893,0.26945,0.505013,1.03199,0.0899177,0.0886606,1.21905,0.390152,,124
BA26_120_3Slices.xml,43.7872,210.325,0.236497,5.63208,0.665985,0.380573,0.908595,0.71529,7423.94,0.420593,0.255221,0.438039,0.913935,0.0912483,0.079598,1.14643,0.355109,,124
BA27_120_1Slices.xml,25.8943,197.421,0.231298,5.88084,0.680112,0.355298,0.894422,0.683928,6203.25,0.433083,0.243214,0.471297,0.899122,0.0830759,0.0697152,1.13026,0.340087,,124
BA27_120_2Slices.xml,31.0683,192.07,0.252903,5.9327,0.750198,0.326198,0.801094,0.677389,6203.16,0.382568,0.201214,0.420029,0.808387,0.0548409,0.0583809,0.995867,0.337115,1.73784,124
BA27_120_3Slices.xml,27.1163,200.723,0.254993,5.70272,0.727077,0.348029,0.829256,0.704766,5147.64,0.393573,0.2144,0.421376,0.838016,0.0630567,0.0660434,1.02466,0.35071,,124
BA28_120_1Slices.xml,58.4262,214.208,0.248877,4.76619,0.593097,0.456277,1.11039,0.849606,7233.86,0.50022,0.255065,0.525338,1.12202,0.0817486,0.0932507,1.26644,0.419622,,124
BA28_120_2Slices.xml,61.1211,215.905,0.242203,4.59962,0.557022,0.495919,1.20815,0.882457,6203.17,0.544358,0.304986,0.571422,1.21942,0.110327,0.104919,1.36044,0.434818,2.58212,124
BA28_120_3Slices.xml,60.7456,214.144,0.246579,4.77039,0.58814,0.460411,1.11437,0.848874,6203.19,0.487662,0.260411,0.515643,1.12614,0.0857878,0.0947433,1.28102,0.419253,,124
BA29_120_1Slices.xml,79.7527,231.257,0.214402,4.02832,0.43184,0.601192,1.66227,1.00261,4708.28,0.811935,0.382683,0.830501,1.66772,0.13302,0.137933,1.81919,0.496485,,124
BA29_120_3Slices.xml,58.7528,218.873,0.201723,5.04803,0.509154,0.499763,1.25172,0.7969,3599.66,0.582058,0.398483,0.602238,1.25209,0.153708,0.117392,1.56785,0.396194,,124
BA30_120_3Slices.xml,57.9685,214.605,0.23386,4.88422,0.57111,0.438189,1.22223,0.826541,2763.86,0.609723,0.275116,0.635567,1.23227,0.101266,0.0939834,1.34149,0.409482,,124
BA31_120_2Slices.xml,67.621,220.086,0.2338,4.41251,0.515823,0.499826,1.48285,0.914935,2979.27,0.749439,0.29468,0.779853,1.4967,0.101327,0.107428,1.48539,0.453257,,124
BA32_120_1Slices.xml,54.9035,213.061,0.239655,4.96777,0.595276,0.442848,1.08164,0.816845,6858.02,0.480114,0.253613,0.50605,1.09083,0.0870052,0.0917021,1.2773,0.402595,,124
BA32_120_2Slices.xml,68.729,213.132,0.23043,4.90279,0.564876,0.453525,1.14456,0.82773,5862.54,0.493063,0.260222,0.516928,1.15122,0.0936244,0.0948069,1.36237,0.407931,2.5159241,124
BA32_120_3Slices.xml,72.896,210.466,0.252612,4.6234,0.583964,0.4539,1.16694,0.8751,3736.69,0.555486,0.258679,0.585508,1.18105,0.0813358,0.0911519,1.27985,0.432582,,124
BA33_120_1Slices.xml,75.0977,204.726,0.263984,5.04215,0.665525,0.408235,0.954706,0.80492,7146.64,0.430872,0.224877,0.461562,0.968075,0.065543,0.078411,1.10592,0.396656,,124
BA33_120_2Slices.xml,79.298,202.517,0.265228,5.10403,0.676866,0.402975,0.935774,0.794317,6894.32,0.423058,0.226271,0.456173,0.949302,0.0656624,0.0767032,1.08555,0.391848,2.7324932,124
BA33_120_3Slices.xml,83.9897,202.122,0.265929,5.07473,0.67476,0.406469,0.938881,0.798681,6023.17,0.40969,0.229596,0.443177,0.952555,0.0661247,0.0772051,1.0879,0.394109,,124
BA34_120_2Slices.xml,73.6553,214.105,0.244232,4.66561,0.569745,0.474872,1.18124,0.873043,5753.35,0.55929,0.26704,0.583485,1.19174,0.0894939,0.0978752,1.3265,0.428669,2.62611,124
BA34_120_3Slices.xml,93.7555,214.555,0.244805,4.48195,0.548602,0.499554,1.24563,0.905306,5157.19,0.598449,0.30553,0.627391,1.25814,0.101418,0.104134,1.37658,0.446234,,124
BA35_120_1Slices.xml,67.6205,206.093,0.264316,4.94682,0.653762,0.414431,0.982822,0.818906,7798.74,0.445574,0.240695,0.476019,0.996999,0.0723525,0.080882,1.12531,0.4043,,124
BA35_120_2Slices.xml,60.5014,207.086,0.262467,5.01661,0.658348,0.407588,0.955733,0.80855,7255.85,0.422716,0.229001,0.452062,0.968894,0.0685794,0.0795169,1.12028,0.398676,2.3668,124
BA35_120_3Slices.xml,54.919,206.627,0.261654,5.13403,0.67167,0.396678,0.939002,0.788869,9751.84,0.431744,0.228497,0.461736,0.952129,0.0688943,0.0774592,1.09927,0.389557,,124
BA36_120_1Slices.xml,43.9996,217.227,0.232026,5.02212,0.582631,0.428728,1.12524,0.806104,8083.05,0.522421,0.247026,0.543002,1.13253,0.0868585,0.0908012,1.31811,0.398238,,124
BA36_120_3Slices.xml,61.7077,217.539,0.227076,4.85878,0.551656,0.450733,1.24124,0.834252,7835.89,0.626816,0.273444,0.64826,1.24819,0.100298,0.0973884,1.4011,0.411626,,124
